time,source,emotion,emotion_confidence,identity,identity_confidence,verified,face_status,faces_detected,result_image
2026-04-15 10:26:32,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102632_723627.jpg
2026-04-15 10:26:34,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102634_817772.jpg
2026-04-15 10:26:36,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102636_915055.jpg
2026-04-15 10:26:39,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102639_301451.jpg
2026-04-15 10:26:41,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102641_513069.jpg
2026-04-15 10:26:43,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102643_757940.jpg
2026-04-15 10:26:45,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102645_941155.jpg
2026-04-15 10:26:48,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102648_051188.jpg
2026-04-15 10:26:50,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102650_064697.jpg
2026-04-15 10:26:52,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102652_168680.jpg
2026-04-15 10:26:55,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102655_314321.jpg
2026-04-15 10:26:57,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102657_550171.jpg
2026-04-15 10:26:59,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102659_629957.jpg
2026-04-15 10:27:01,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102701_763099.jpg
2026-04-15 10:27:03,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102703_914045.jpg
2026-04-15 10:27:06,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102706_038866.jpg
2026-04-15 10:27:08,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102708_324434.jpg
2026-04-15 10:27:11,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102711_265175.jpg
2026-04-15 10:27:13,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102713_392298.jpg
2026-04-15 10:27:15,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102715_694499.jpg
2026-04-15 10:27:46,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102746_374003.jpg
2026-04-15 17:13:16,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171316_271873.jpg
2026-04-15 17:13:19,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171319_200637.jpg
2026-04-15 17:13:21,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171321_319111.jpg
2026-04-15 17:13:23,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171323_528675.jpg
2026-04-15 17:13:25,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171325_641793.jpg
2026-04-15 17:13:27,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171327_742300.jpg
2026-04-15 17:13:29,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171329_921560.jpg
2026-04-15 17:13:31,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171331_958972.jpg
2026-04-15 17:13:33,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171333_997370.jpg
2026-04-15 17:13:36,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171336_004057.jpg
2026-04-15 17:13:38,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171338_017776.jpg
2026-04-15 17:13:40,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171340_055127.jpg
2026-04-15 17:13:42,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171342_109750.jpg
2026-04-15 17:13:44,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171344_113326.jpg
2026-04-15 17:13:46,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171346_118992.jpg
2026-04-15 17:13:48,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171348_183909.jpg
2026-04-15 17:13:50,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171350_448418.jpg
2026-04-15 17:13:52,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171352_502986.jpg
2026-04-15 17:13:54,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171354_580048.jpg
2026-04-15 17:13:56,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171356_588278.jpg
2026-04-15 17:13:58,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171358_632235.jpg
2026-04-15 17:14:00,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171400_688710.jpg
2026-04-15 17:14:02,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171402_695342.jpg
2026-04-15 17:14:04,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171404_726183.jpg
2026-04-15 17:14:06,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171406_792987.jpg
2026-04-15 17:14:08,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_171408_806620.jpg
